neuronid,averagearea,stdev,z3740area,z3440area,z3140area,z3540area,z3340area
21244,0.0876666667,0.0195533458,0.108,0.069,0.086,,
21338,0.0656666667,0.0237135685,0.046,0.092,0.059,,
9687,0.361,0.0689420046,0.284,0.382,0.417,,
492,0.5083333333,0.0795885251,0.599,0.45,0.476,,
9195,0.4886666667,0.0861239417,0.4,0.572,0.494,,
9211,0.2036666667,0.0863095205,0.303,0.147,0.161,,
16811,0.2583333333,0.1070762968,0.263,0.363,0.149,,
9207,0.2653333333,0.1178742268,0.188,0.207,0.401,,
9171,0.3903333333,0.1400618911,0.507,0.235,0.429,,
9557,0.3106666667,0.1423598726,0.232,0.225,0.475,,
476,0.4076666667,0.1555967009,0.56,0.249,0.414,,
8996,0.6952,0.1577599442,0.583,0.739,0.939,0.536,0.679
10393,0.3016666667,0.184348402,0.094,0.365,0.446,,
9746,0.2423333333,0.2035002048,0.147,0.104,0.476,,
480,0.588,0.23157936,0.816,0.595,0.353,,
9187,0.618,0.2385141505,0.381,0.615,0.858,,
12257,0.2366666667,0.2419614294,0.102,0.092,0.516,,
9552,1.1986666667,0.2493077081,1.391,0.917,1.288,,
484,1.0763333333,0.2535376369,0.785,1.247,1.197,,
10407,0.235,0.2617307777,0.108,0.536,0.061,,
12243,0.425,0.2771569952,0.269,0.745,0.261,,
9025,0.8113333333,0.2786473279,1.028,0.909,0.497,,
10414,0.7853333333,0.3196096578,0.435,0.86,1.061,,
10424,0.3843333333,0.3107753744,0.275,0.143,0.735,,
9630,0.9396666667,0.3443099379,0.729,0.753,1.337,,
9175,0.4666666667,0.362359398,0.881,0.31,0.209,,
2714,2.4444,0.3923312376,2.129,2.773,2.009,2.401,2.91
9191,0.6583333333,0.4405795426,0.533,0.294,1.148,,
9013,1.2542,0.3908634032,0.862,1.356,1.751,0.852,1.45
468,1.0726,0.3754527933,1.593,0.619,1.285,0.893,0.973
488,0.584,0.502303693,1.164,0.297,0.291,,
9709,0.7443333333,0.5073079275,0.159,1.017,1.057,,
83815,0.782,0.5091060793,0.354,1.345,0.647,,
9029,0.5983333333,0.5184759718,1.197,0.303,0.295,,
581,1.3426666667,0.5382604698,1.362,0.795,1.871,,
12262,0.663,0.5494843037,0.212,0.502,1.275,,
8992,1.1316,0.5222540569,1.104,0.877,1.955,0.544,1.178
9009,1.289,0.7804396197,1.038,0.514,2.055,2.178,0.66
9005,1.6146,0.6309820124,1.111,1.332,2.687,1.656,1.287
464,1.9092,0.8796815901,3.341,1.416,2.115,1.566,1.108
9001,1.9746,0.7681167229,1.641,1.459,3.3,1.974,1.499
472,1.5364,1.0259297247,0.935,1.35,3.311,0.745,1.341
