,neuron 9557,neuron 9211,neuron 464,neuron 9630,neuron 9195,neuron 9187,neuron 9207,neuron 8992,neuron 468,neuron 9552,neuron 10414,neuron 9191,neuron 8996,neuron 83815,neuron 9746,neuron 9687,neuron 9709,neuron 16811,neuron 2714,neuron 10424,neuron 9013,neuron 492,neuron 476,neuron 10407,neuron 9005,neuron 472,neuron 12262,neuron 9009,neuron 10393,neuron 9175,neuron 488,neuron 480,neuron 21338,neuron 484,neuron 21244,neuron 9171,neuron 9001,neuron 9025,neuron 581,neuron 12257,neuron 12243,neuron 9029,neuron 9883,neuron 9862,neuron 9935,neuron 9929,neuron 10299,neuron 9899,neuron 9888,neuron 9755,neuron 9878,neuron 9797,neuron 9867,neuron 9857,neuron 11802,neuron 11817,neuron 10377,neuron 11787,neuron 11792,neuron 10367,neuron 10385,neuron 10208,neuron 10223,neuron 11797,neuron 10372,neuron 13031,neuron 13036,neuron 13025,neuron 16857,neuron 11715,neuron 12425,neuron 12321,neuron 11011,neuron 11182,neuron 11380,neuron 3823,neuron 12442,neuron 2216,neuron 16223,neuron 11043,neuron 12767,neuron 11320,neuron 12736,neuron 11468,neuron 2220,neuron 11392,neuron 16242,neuron 12708,neuron 11597,neuron 16802,neuron 11285,neuron 17387,neuron 12239,neuron 10781,neuron 11403,neuron 16218,neuron 8565,neuron 11299,neuron 10986,neuron 16026,neuron 11339,neuron 16185,neuron 16765,neuron 2212,neuron 11657,neuron 16770,neuron 3838,neuron 2180,neuron 12275,neuron 15680,neuron 48239,Neuron 6718,neuron 21098,neuron 3833,neuron 11682,neuron 11062,neuron 11934,neuron 10776,neuron 3040,neuron 11944,neuron 10796,neuron 10971,neuron 12964,neuron 10802,neuron 11413,neuron 12451,neuron 12786,neuron 11213,neuron 12803,neuron 10768,neuron 3808,neuron 12402,neuron 10841,neuron 33306,neuron 2236,neuron 12267,neuron 11172,neuron 12822,neuron 6654
neuron 9557,1.0,0.453401,0.503625,0.551686,0.43003,0.44500500000000004,0.564545,0.68534,0.614374,0.7646149999999999,0.617147,0.45666999999999996,0.74341,0.7839689999999999,0.592174,0.469235,0.7003689999999999,0.67697,0.325968,0.8463209999999999,0.750908,0.518126,0.511404,0.41383400000000004,0.6301859999999999,0.508971,0.670018,0.726694,0.403327,-0.0882313,0.0226055,0.13932999999999998,-0.059610500000000004,0.019724400000000003,-0.059347300000000006,0.064137,0.0862245,0.0374832,0.16864400000000002,0.0803322,0.181518,-0.185392,-0.39759,-0.397244,-0.398032,-0.374153,-0.378864,-0.368089,0.052607600000000004,0.039191699999999996,0.0298087,-0.0762505,-0.0834541,0.0248604,0.00270949,0.024355,0.015478200000000001,-0.104675,-0.09737849999999999,-0.0438441,-0.025036700000000002,-0.079334,-0.0824758,0.15077000000000002,-0.0236414,-0.20685900000000002,-0.295114,-0.245225,-0.221956,-0.43577899999999997,0.796534,-0.0841828,-0.021400400000000003,0.717322,-0.14966,0.484067,0.356736,-0.0207293,0.693345,0.709009,0.43724700000000005,-0.27486900000000003,0.379644,-0.195875,-0.025708699999999998,0.352134,0.13961199999999999,0.412156,-0.458653,0.417756,0.015354499999999998,-0.09321310000000001,-0.42569799999999997,-0.0312849,-0.119565,0.679862,0.022716099999999996,0.41585,-0.17444300000000001,0.34967,-0.00164452,-0.12881800000000002,0.355689,-0.08802819999999999,0.0218871,0.381429,0.046176199999999994,0.365577,-0.42112200000000005,0.489429,0.605056,0.201022,-0.110241,0.016364700000000003,0.09518120000000001,0.670933,0.35780700000000004,0.0270009,-0.134639,-0.429787,-0.103621,-0.01916,0.674111,-0.060044900000000005,-0.408504,0.664696,0.6326649999999999,0.44328100000000004,0.400039,0.5681350000000001,-0.0360722,0.796734,-0.0105814,-0.134693,-0.21768200000000001,-0.0717689,0.09787939999999999,0.3881,-0.106277
neuron 9211,0.453401,1.0,0.284325,0.559137,0.9095209999999999,0.847526,0.633849,0.34991700000000003,0.364271,0.371852,0.220584,0.9176110000000001,0.614559,0.425012,0.5960260000000001,0.8148989999999999,0.278826,0.40668499999999996,0.161439,0.432626,0.5614180000000001,0.885236,0.841334,0.8812959999999999,0.25268,0.856166,0.6075550000000001,0.377821,0.8866350000000001,0.011442,0.12275599999999999,0.194521,0.056561400000000005,0.110027,0.0551433,0.137455,0.09137730000000001,0.09959119999999999,0.171017,0.15724200000000002,0.0844403,-0.195345,-0.477117,-0.486701,-0.489371,-0.446352,-0.44823199999999996,-0.44667799999999996,0.163548,0.142152,0.13673,0.025997199999999998,0.00168163,-0.00480497,0.10725799999999999,0.183307,0.13736700000000002,-0.0603808,-0.032224,0.0518445,0.07146389999999998,0.03590019999999999,0.018232599999999998,0.237569,0.08726360000000001,-0.15537,-0.212191,-0.15476900000000002,-0.153137,-0.530756,0.370481,-0.033583499999999995,0.06445880000000001,0.38451399999999997,-0.0486665,0.246915,0.801117,0.042341500000000004,0.543557,0.584043,0.8281850000000001,-0.20269500000000001,0.844722,-0.198951,0.03390580000000001,0.655462,0.0520312,0.798561,-0.554589,0.578516,0.135228,-0.04175,-0.5324369999999999,0.0680217,-0.021645400000000002,0.444538,0.12425399999999999,0.724581,-0.11807899999999999,0.802135,0.045247,-0.0705055,0.599328,0.0222821,-0.048344,0.601984,0.11878499999999999,0.725824,-0.546616,0.37698899999999996,0.230994,0.123503,-0.00325797,0.0674672,0.213209,0.295387,0.744045,0.05198919999999999,-0.0829715,-0.557136,-0.006076600000000001,0.0814692,0.315538,0.0334726,-0.50478,0.681158,0.241459,0.468139,0.8460270000000001,0.464599,0.056409100000000004,0.46029499999999995,0.053680700000000005,-0.038317000000000004,-0.16054100000000002,-0.0200861,0.109484,0.839657,-0.0651739
neuron 464,0.503625,0.284325,1.0,0.568175,0.301114,0.344891,0.513382,0.683253,0.7776029999999999,0.59554,0.392431,0.286881,0.39614099999999997,0.43519399999999997,0.518927,0.33162800000000003,0.4704,0.456,0.717644,0.549513,0.43218199999999996,0.30498000000000003,0.327979,0.238919,0.480264,0.29233600000000004,0.559689,0.5748949999999999,0.306213,0.026163599999999995,0.15692899999999999,0.181989,0.0683181,0.149598,0.0681591,0.28876999999999997,0.43429300000000004,0.193172,0.504886,0.30646799999999996,0.29368,-0.094012,-0.342923,-0.349019,-0.344561,-0.318294,-0.333478,-0.331239,0.209353,0.189993,0.1833,0.03722059999999999,0.0441814,0.0717146,0.13813599999999998,0.146793,0.13170199999999999,-0.0326881,-0.031949200000000004,0.0809467,0.0949837,0.00989365,-0.00313523,0.21128000000000002,0.0944138,-0.19598800000000002,-0.228875,-0.210286,-0.21367399999999998,-0.36954000000000004,0.558136,0.00332723,0.10670299999999999,0.552844,-0.0858674,0.742862,0.28581,0.129334,0.43726800000000005,0.470075,0.340486,-0.23101100000000002,0.30875,-0.113927,0.114889,0.37742800000000004,0.250596,0.32214699999999996,-0.393071,0.46886099999999997,0.139845,-0.024954900000000002,-0.363989,0.095523,-0.0491222,0.622664,0.153031,0.33135,-0.06389840000000001,0.279918,0.184229,-0.0609893,0.430501,-0.00756289,0.0647889,0.46255100000000005,0.22561399999999998,0.349109,-0.37947800000000004,0.695554,0.5508810000000001,0.6131260000000001,0.0237644,0.20616700000000002,0.23129299999999997,0.534279,0.344449,0.276432,-0.028559699999999997,-0.391604,-0.0460444,0.100677,0.565318,0.020465599999999997,-0.364662,0.456053,0.574037,0.587849,0.29896500000000004,0.628108,0.0706243,0.49885799999999997,0.126717,-0.00256567,-0.189387,0.0349157,0.377143,0.311936,-0.0230105
neuron 9630,0.551686,0.559137,0.568175,1.0,0.557769,0.653497,0.914071,0.595262,0.690643,0.51471,0.272517,0.552628,0.598341,0.45762299999999995,0.9109459999999999,0.619532,0.380771,0.494208,0.30696599999999996,0.614272,0.6323770000000001,0.565242,0.590947,0.482483,0.356212,0.557584,0.8722610000000001,0.492892,0.525039,0.022976499999999997,0.131709,0.179535,0.043425599999999995,0.112081,0.0430402,0.204691,0.26387,0.187649,0.378776,0.232632,0.14816600000000002,-0.0890309,-0.353901,-0.366437,-0.367848,-0.33055999999999996,-0.31869200000000003,-0.303216,0.185047,0.161984,0.15827,0.0189009,0.00667648,-0.00492307,0.133863,0.18783699999999998,0.143861,-0.0313967,-0.016575599999999996,0.0670826,0.10317899999999999,0.0258702,0.00605994,0.21193800000000002,0.101363,-0.179858,-0.230699,-0.18822,-0.172759,-0.386479,0.6457350000000001,-0.00288643,0.0854448,0.569804,-0.052266599999999996,0.585496,0.554759,0.0774924,0.578543,0.619073,0.641882,-0.22245900000000002,0.570459,-0.08586039999999999,0.0618631,0.6184390000000001,0.0884477,0.630908,-0.431489,0.79338,0.111476,-0.0220574,-0.381808,0.0632546,-0.0173798,0.735838,0.158416,0.615999,-0.114031,0.53378,0.0943637,-0.0659156,0.7295729999999999,0.013653899999999998,-0.0368246,0.701097,0.185473,0.606943,-0.392347,0.758704,0.378216,0.322982,-0.00362802,0.101012,0.201,0.456251,0.592622,0.216004,-0.0741824,-0.400886,-0.0180473,0.06895219999999999,0.494758,0.032069099999999996,-0.375278,0.679048,0.422151,0.8087449999999999,0.551218,0.6797770000000001,0.07885700000000001,0.590124,0.07375369999999999,-0.0404625,-0.175223,0.0131545,0.292975,0.569998,-0.043242199999999995
neuron 9195,0.43003,0.9095209999999999,0.301114,0.557769,1.0,0.861359,0.654382,0.343624,0.353364,0.349686,0.207909,0.8721540000000001,0.586026,0.383076,0.620058,0.8445860000000001,0.256758,0.375693,0.154313,0.404531,0.525632,0.8521790000000001,0.878395,0.882925,0.23596599999999998,0.835722,0.611317,0.3583,0.9337489999999999,0.0264931,0.132928,0.213381,0.057247,0.117448,0.0585063,0.141261,0.102139,0.11267,0.190503,0.172216,0.0735527,-0.177297,-0.423202,-0.442537,-0.43519300000000005,-0.391212,-0.423587,-0.40567600000000004,0.168224,0.144681,0.139734,0.0250278,0.00735874,-0.00168894,0.127867,0.201406,0.152474,-0.0217648,-0.00396696,0.0777216,0.11455,0.0407874,0.0256661,0.252251,0.124021,-0.15503599999999998,-0.20236400000000002,-0.15093800000000002,-0.149037,-0.5064930000000001,0.34721,-0.00132605,0.0710864,0.351191,-0.0364205,0.24030900000000002,0.8313879999999999,0.042952,0.503067,0.534082,0.8627809999999999,-0.191925,0.827428,-0.183567,0.0307875,0.685535,0.052387199999999995,0.792655,-0.538555,0.595719,0.133027,-0.022165,-0.5212319999999999,0.0723358,-0.011126100000000002,0.409818,0.12911,0.7609999999999999,-0.116934,0.806279,0.0549653,-0.0611985,0.622096,0.0363951,-0.0434941,0.617259,0.124327,0.762784,-0.508058,0.38618800000000003,0.211963,0.11520899999999999,-0.00160821,0.0711181,0.233413,0.279454,0.772958,0.061734199999999996,-0.0801485,-0.5208079999999999,0.00780037,0.0799883,0.29754400000000003,0.0567827,-0.48680500000000004,0.63861,0.22073299999999998,0.488646,0.8344209999999999,0.47138,0.07443,0.42747299999999994,0.051271800000000006,-0.038722,-0.163329,0.00759102,0.11775,0.844053,-0.0332166
neuron 9187,0.44500500000000004,0.847526,0.344891,0.653497,0.861359,1.0,0.7610899999999999,0.378091,0.44081499999999996,0.382919,0.19966099999999998,0.819234,0.5880479999999999,0.417547,0.694599,0.931368,0.26342600000000005,0.393986,0.200388,0.45063500000000006,0.538518,0.801428,0.880518,0.759514,0.241893,0.791927,0.692914,0.385315,0.8435440000000001,0.0366409,0.145645,0.21409099999999998,0.07576060000000001,0.127055,0.0700262,0.182268,0.156673,0.192683,0.245319,0.212917,0.107696,-0.13869700000000001,-0.409382,-0.43317100000000003,-0.417282,-0.384865,-0.39214699999999997,-0.367873,0.228044,0.214975,0.196378,0.047924400000000006,0.0265712,0.0150713,0.15231,0.243117,0.185355,-0.00307152,0.0195319,0.08457200000000001,0.13652999999999998,0.0561533,0.039465,0.265244,0.13814,-0.14673,-0.198243,-0.154596,-0.15395899999999998,-0.488291,0.400798,0.016779699999999998,0.100405,0.40821799999999997,-0.037422199999999996,0.320022,0.8141689999999999,0.07627830000000001,0.531666,0.567979,0.8978,-0.18215399999999998,0.8035100000000001,-0.12980799999999998,0.0744583,0.793905,0.0637714,0.797722,-0.5287810000000001,0.709671,0.16710999999999998,0.013927200000000002,-0.500254,0.0904321,-0.00560833,0.49865,0.182549,0.8248620000000001,-0.09343330000000001,0.757169,0.08373489999999999,-0.0600953,0.738352,0.0451066,-0.0241778,0.732766,0.207019,0.84035,-0.485785,0.49360200000000004,0.227604,0.16904,0.00800294,0.104155,0.26124,0.307614,0.875237,0.122924,-0.056924699999999995,-0.500106,0.014712600000000001,0.09950310000000001,0.33412600000000003,0.0709341,-0.472649,0.674053,0.24025500000000002,0.600212,0.8125,0.5742649999999999,0.0954273,0.461949,0.0928857,-0.020408199999999998,-0.156816,0.0235533,0.18448599999999998,0.8515790000000001,-0.0088804
neuron 9207,0.564545,0.633849,0.513382,0.914071,0.654382,0.7610899999999999,1.0,0.5296069999999999,0.6464880000000001,0.511055,0.262071,0.640642,0.6319859999999999,0.475096,0.91374,0.727896,0.36177800000000004,0.482521,0.28203,0.595807,0.64254,0.6383409999999999,0.680758,0.572168,0.32218800000000003,0.633162,0.8921190000000001,0.47792399999999996,0.621979,0.02332,0.125319,0.17949500000000002,0.0418364,0.116514,0.0409652,0.190971,0.227829,0.193386,0.334376,0.223588,0.133144,-0.0953258,-0.35786100000000004,-0.369118,-0.362633,-0.338437,-0.325943,-0.30799,0.208227,0.180519,0.166073,0.0143994,0.013893299999999999,-0.00185989,0.13495,0.196183,0.150741,-0.0210446,-0.015172799999999998,0.0808305,0.115975,0.026916700000000002,0.00965483,0.21761599999999998,0.11201199999999999,-0.172268,-0.228557,-0.179231,-0.166443,-0.387248,0.5917899999999999,0.00810593,0.084634,0.564709,-0.060665300000000005,0.5121220000000001,0.6383260000000001,0.07638239999999999,0.599748,0.650302,0.750549,-0.216202,0.625538,-0.0978086,0.06825389999999999,0.69312,0.0794004,0.6864520000000001,-0.429996,0.8218469999999999,0.12137200000000001,-0.022534099999999998,-0.38769000000000003,0.0683404,-0.026151099999999997,0.691145,0.165409,0.690882,-0.112935,0.602534,0.09476369999999999,-0.07287189999999999,0.74103,0.017487400000000004,-0.0365148,0.726035,0.194109,0.68062,-0.396798,0.7344149999999999,0.347866,0.270361,-0.00153821,0.103468,0.222057,0.43950100000000003,0.68266,0.17960299999999998,-0.07229189999999999,-0.403312,-0.018678599999999997,0.0777258,0.472455,0.0385134,-0.372628,0.736962,0.377738,0.7853640000000001,0.633084,0.733464,0.09060599999999999,0.596583,0.08213960000000001,-0.0437271,-0.175845,0.0175283,0.261865,0.662032,-0.0332146
neuron 8992,0.68534,0.34991700000000003,0.683253,0.595262,0.343624,0.378091,0.5296069999999999,1.0,0.69128,0.8465870000000001,0.608354,0.34773699999999996,0.5277689999999999,0.682802,0.552779,0.369765,0.747225,0.613574,0.45801499999999995,0.771652,0.601805,0.367908,0.377776,0.299149,0.71855,0.363386,0.6103149999999999,0.75373,0.334388,-0.032908,0.0778725,0.131464,0.00159069,0.0722078,0.00465236,0.155641,0.210537,0.0867363,0.287746,0.176873,0.200506,-0.161754,-0.348738,-0.359653,-0.352525,-0.329073,-0.319812,-0.314092,0.11665899999999998,0.0939525,0.0916424,-0.026747500000000004,-0.0344389,-0.000599014,0.0791094,0.07771710000000001,0.07429119999999999,-0.105718,-0.0888669,0.00522411,0.00927546,-0.0331965,-0.045324500000000004,0.145886,0.0215518,-0.227667,-0.28792399999999996,-0.234801,-0.22445900000000002,-0.385442,0.730412,-0.0701193,0.0368476,0.749728,-0.11448,0.6063649999999999,0.31390500000000005,0.032870300000000005,0.600614,0.59717,0.365338,-0.276395,0.319031,-0.167246,0.0286628,0.37805700000000003,0.11113800000000001,0.380302,-0.415142,0.454294,0.06316820000000001,-0.09082269999999999,-0.377446,0.0203301,-0.088651,0.623043,0.06541,0.353094,-0.14311,0.316259,0.0625727,-0.112318,0.420121,-0.048260000000000004,-0.0186011,0.435094,0.107804,0.361033,-0.378994,0.5748770000000001,0.728692,0.385318,-0.051534800000000006,0.0729967,0.142479,0.79127,0.354641,0.119851,-0.104629,-0.384996,-0.08568730000000001,0.0259361,0.797592,-0.029026,-0.36475799999999997,0.5363140000000001,0.765259,0.508242,0.323751,0.54499,0.0108931,0.700882,0.0359977,-0.07617460000000001,-0.21171500000000001,-0.05661,0.18440299999999998,0.341922,-0.10166
neuron 468,0.614374,0.364271,0.7776029999999999,0.690643,0.353364,0.44081499999999996,0.6464880000000001,0.69128,1.0,0.6879890000000001,0.401403,0.355672,0.5129130000000001,0.58825,0.612386,0.411933,0.505564,0.5341229999999999,0.586522,0.685599,0.5479510000000001,0.380475,0.385716,0.279967,0.471488,0.343047,0.68443,0.630523,0.359008,0.00727761,0.12645599999999999,0.12992599999999999,0.0502171,0.115025,0.048166900000000006,0.235277,0.334597,0.181551,0.402827,0.259838,0.266912,-0.08821699999999999,-0.353556,-0.352775,-0.35625500000000004,-0.325895,-0.32561999999999997,-0.319963,0.177427,0.17079,0.153362,0.035527800000000005,0.029818400000000002,0.0469096,0.107339,0.132885,0.11674100000000001,-0.034249199999999994,-0.0418781,0.0661499,0.08290410000000001,0.0129453,0.00568054,0.170762,0.0875712,-0.18446500000000002,-0.215942,-0.198212,-0.20888800000000002,-0.377662,0.724692,-0.00832477,0.08812110000000001,0.668559,-0.081939,0.8028,0.343493,0.103702,0.588481,0.640993,0.41020100000000004,-0.22397899999999998,0.335476,-0.10272,0.101833,0.43676000000000004,0.17990499999999998,0.38752800000000004,-0.408613,0.6000840000000001,0.12472899999999999,-0.0351099,-0.373933,0.0775027,-0.038567800000000006,0.8053170000000001,0.15146600000000002,0.391181,-0.0638514,0.325934,0.135787,-0.0725621,0.548596,0.00175494,0.029033499999999997,0.580105,0.184363,0.401344,-0.380443,0.801334,0.566225,0.50259,0.013977100000000001,0.154107,0.209506,0.633101,0.416012,0.23016199999999998,-0.0215505,-0.398876,-0.0339746,0.0949021,0.647834,0.028010000000000004,-0.373332,0.5771229999999999,0.610259,0.7105520000000001,0.353018,0.737965,0.0501291,0.6373949999999999,0.10806199999999999,-0.0106625,-0.180455,0.0119162,0.321839,0.37701,-0.0388274
neuron 9552,0.7646149999999999,0.371852,0.59554,0.51471,0.349686,0.382919,0.511055,0.8465870000000001,0.6879890000000001,1.0,0.642354,0.366854,0.573475,0.80671,0.522926,0.37145,0.780425,0.69835,0.44817399999999996,0.792589,0.656357,0.399885,0.36891999999999997,0.31301,0.681513,0.38572,0.589341,0.838253,0.35015999999999997,-0.03277480000000001,0.09556360000000001,0.09288660000000001,0.00991412,0.0945664,0.0114425,0.132915,0.165768,0.0861589,0.24623899999999999,0.14799600000000002,0.184343,-0.163825,-0.36734,-0.367818,-0.35986999999999997,-0.33362600000000003,-0.34125900000000003,-0.33728800000000003,0.110448,0.101471,0.08880650000000001,-0.037642,-0.027832599999999996,-0.0155582,0.0580456,0.07462189999999999,0.0615437,-0.10165700000000001,-0.089153,0.00369653,0.00817334,-0.026781299999999997,-0.0342801,0.119005,0.0183748,-0.21236100000000002,-0.278196,-0.236631,-0.22533000000000003,-0.410416,0.7673939999999999,-0.0688712,0.038330300000000005,0.82315,-0.112354,0.6095619999999999,0.334966,0.03805669999999999,0.671227,0.664882,0.389327,-0.270044,0.323592,-0.172065,0.0332651,0.379461,0.108554,0.404052,-0.42850699999999997,0.43812399999999996,0.0627112,-0.09035839999999999,-0.393778,0.0275546,-0.0766553,0.649402,0.0754354,0.380416,-0.123954,0.344994,0.0739154,-0.11621,0.396192,-0.039015499999999995,-0.014280200000000002,0.408506,0.0981419,0.367397,-0.39420700000000003,0.552467,0.759732,0.343497,-0.0365158,0.08408869999999999,0.14252,0.843675,0.375786,0.08994930000000001,-0.0811336,-0.407206,-0.06892530000000001,0.0404293,0.8480989999999999,-0.0246517,-0.381664,0.589808,0.7783,0.472243,0.363178,0.590348,0.00697512,0.793162,0.0399871,-0.0638139,-0.214202,-0.057905,0.167414,0.372291,-0.104746
