,neuron 464,neuron 9191,neuron 476,neuron 492,neuron 9552,neuron 2714,neuron 9557,neuron 9207,neuron 83815,neuron 9005,neuron 9013,neuron 10407,neuron 9187,neuron 468,neuron 12262,neuron 8992,neuron 10393,neuron 9630,neuron 16811,neuron 8996,neuron 10414,neuron 9709,neuron 9746,neuron 472,neuron 9009,neuron 9687,neuron 10424,neuron 9211,neuron 9195,neuron 484,neuron 480,neuron 9175,neuron 21338,neuron 21244,neuron 488,neuron 12257,neuron 9171,neuron 581,neuron 9025,neuron 9001,neuron 12243,neuron 9029,neuron 9883,neuron 9862,neuron 9935,neuron 9929,neuron 9899,neuron 10299,neuron 9878,neuron 9888,neuron 9755,neuron 9867,neuron 9797,neuron 9857,neuron 11802,neuron 11817,neuron 10377,neuron 11787,neuron 11792,neuron 10385,neuron 10367,neuron 10223,neuron 10208,neuron 11797,neuron 10372,neuron 13031,neuron 13036,neuron 16857,neuron 13025,neuron 12708,neuron 12425,neuron 16765,neuron 12964,neuron 16802,neuron 11182,neuron 16770,neuron 12451,neuron 12786,neuron 11213,neuron 2180,neuron 3823,neuron 12442,neuron 15680,neuron 12803,neuron 10768,neuron 48239,neuron 16223,Neuron 6718,neuron 11043,neuron 12402,neuron 12767,neuron 12736,neuron 16218,neuron 11062,neuron 11392,neuron 11934,neuron 11299,neuron 12822,neuron 16026,neuron 33306,neuron 11285,neuron 10971,neuron 21098,neuron 16185,neuron 10781,neuron 3838,neuron 11339,neuron 10776,neuron 3833,neuron 11172,neuron 16242,neuron 11468,neuron 11715,neuron 11597,neuron 11413,neuron 12239,neuron 12275,neuron 11944,neuron 10841,neuron 2216,neuron 2220,neuron 10986,neuron 3040,neuron 11657,neuron 3808,neuron 11011,neuron 8565,neuron 17387,neuron 6654,neuron 12321,neuron 12267,neuron 10796,neuron 2212,neuron 11682,neuron 10802,neuron 11320,neuron 2236,neuron 11403,neuron 11380
neuron 464,1.0,0.280042,0.240033,0.371533,0.304655,0.5993229999999999,0.21022600000000002,0.44554799999999994,0.305733,0.502211,0.557902,0.187283,0.277469,0.641468,0.49066800000000005,0.5014310000000001,0.271353,0.523764,0.187445,0.602563,0.404449,0.283943,0.424108,0.32462399999999997,0.266754,0.301815,0.16372899999999999,0.15411,0.26448299999999997,0.0926307,-0.0263939,-0.08754930000000001,-0.121505,-0.125808,0.0738786,0.204047,0.29941,0.365106,0.194694,0.425019,0.218324,0.272262,0.035417500000000005,0.05270269999999999,0.265692,0.189419,-0.0366698,0.14019600000000002,0.310867,0.27397699999999997,0.27718000000000004,0.07950510000000001,0.07648139999999999,0.0196592,0.254399,0.203997,0.252089,0.315575,0.270009,0.28813099999999997,0.346987,0.358123,0.287819,0.231582,0.377923,0.17768399999999998,0.047665,0.30861500000000003,0.380083,0.323415,0.40892,0.313104,0.35298,0.39465700000000004,0.38256999999999997,0.349867,0.515594,0.432026,0.45942299999999997,0.34384000000000003,0.5514,0.156998,0.587052,0.26115900000000003,0.22262300000000002,0.38257800000000003,0.19131700000000001,0.536083,0.527515,0.32009499999999996,0.217942,0.187696,0.22278699999999999,0.37759899999999996,0.291283,0.341149,0.36041799999999996,0.25337,0.334992,-0.100476,-0.07317230000000001,0.08404589999999999,-0.0120521,-0.0817631,0.0426594,0.206752,0.178606,0.409487,0.265876,0.32353000000000004,0.177871,0.281902,0.172649,0.029124900000000002,0.279069,0.10816300000000001,-0.05578240000000001,-0.0205082,0.241452,0.20784,0.25692,0.101181,0.0788539,0.0696963,0.253148,0.197265,0.217286,0.21619699999999997,0.305817,0.279913,0.333304,0.0927331,0.23447600000000002,0.255661,0.41056899999999996,0.06539450000000001,0.23113000000000003,0.321996,0.311769
neuron 9191,0.280042,1.0,0.618965,0.511142,0.139044,0.347033,0.22517399999999999,0.352338,0.252213,0.26267199999999996,0.287025,0.486653,0.6045149999999999,0.337095,0.48995299999999997,0.231987,0.5116729999999999,0.34510599999999997,0.230125,0.393451,0.23576999999999998,0.19343,0.43394099999999997,0.523804,0.094019,0.569076,0.197027,0.372388,0.33197,0.114667,0.0450564,-0.029827199999999998,-0.0966412,-0.10194299999999999,0.102141,0.374191,0.317171,0.272883,0.253992,0.26215700000000003,0.344215,0.257587,0.0868648,-0.07791100000000001,0.1616,0.172821,-0.0467879,0.115371,0.277537,0.25655300000000003,0.239202,0.0806883,0.06595119999999999,0.0376365,0.27546,0.306865,0.314361,0.191775,0.181231,0.24004499999999998,0.199431,0.254339,0.301726,0.372327,0.256261,0.265994,0.10209800000000001,0.254146,0.30189699999999997,0.447587,0.241696,0.371875,0.206591,0.443063,0.181895,0.384329,0.419491,0.14169500000000002,0.290813,0.548849,0.278957,0.448014,0.368253,0.627522,0.292566,0.267074,0.236177,0.241965,0.331362,0.17361600000000002,0.623974,0.289103,0.168536,0.178731,0.47762299999999996,0.608943,0.323025,0.519187,0.543333,-0.10303599999999999,0.00698475,0.09926239999999999,-0.0822972,-0.032536,0.0650358,0.23603000000000002,0.322824,0.28509,0.277124,0.226146,0.22929699999999997,0.29525500000000005,0.09437630000000001,-0.11458,0.125067,0.0678788,-0.113232,-0.036795800000000004,0.167304,0.183334,0.240569,0.03729930000000001,-0.0259029,0.0113595,0.1904,0.217034,0.303911,0.118466,0.268766,0.16444,0.23559899999999998,0.0881405,0.145448,0.330202,0.31258400000000003,0.08844489999999999,0.33083,0.32508899999999996,0.29113
neuron 476,0.240033,0.618965,1.0,0.50521,0.12623299999999998,0.319809,0.183726,0.278382,0.172251,0.235136,0.277308,0.471641,0.649305,0.27872199999999997,0.375362,0.197431,0.5352140000000001,0.24100300000000002,0.202236,0.360914,0.18265499999999998,0.141827,0.334458,0.49526400000000004,0.0909937,0.509361,0.224942,0.409288,0.38661599999999996,0.133627,0.0812823,-0.0012409,-0.07082589999999998,-0.07392080000000001,0.0989531,0.30362,0.253245,0.347381,0.26850599999999997,0.316858,0.255628,0.239887,0.0263118,-0.0206528,0.148373,0.145571,-0.0553311,0.0640232,0.281072,0.27569899999999997,0.234105,0.00292538,0.079138,0.00615315,0.23283299999999998,0.24731,0.291962,0.29588600000000004,0.21693099999999998,0.299739,0.24775999999999998,0.23441900000000002,0.29504600000000003,0.36133200000000004,0.257606,0.22594299999999998,0.0795865,0.280934,0.26017199999999996,0.512202,0.209691,0.35313,0.173028,0.337069,0.175938,0.272071,0.351618,0.135941,0.20754499999999998,0.579774,0.261151,0.465929,0.341044,0.530302,0.232146,0.230424,0.198631,0.259823,0.28195,0.130883,0.605834,0.334177,0.186999,0.23724499999999998,0.45488199999999995,0.533079,0.352283,0.522251,0.481476,-0.09996039999999999,0.0192317,0.08148810000000001,-0.08200189999999999,-0.010324600000000001,0.0732834,0.220394,0.213736,0.30503,0.178929,0.288972,0.197203,0.24947199999999997,0.103306,-0.064458,0.132958,0.00343159,-0.15467899999999998,-0.0848455,0.193893,0.178458,0.24350700000000003,0.00688838,0.0122371,-0.06328500000000001,0.186944,0.179788,0.23084699999999997,0.11514,0.356414,0.241713,0.324777,0.119923,0.20063399999999998,0.301239,0.325693,0.035294,0.279111,0.284429,0.297311
neuron 492,0.371533,0.511142,0.50521,1.0,0.21107199999999998,0.431026,0.358666,0.357011,0.287851,0.41375500000000004,0.46439300000000006,0.476259,0.451851,0.398701,0.505111,0.363018,0.426126,0.34389000000000003,0.412182,0.512021,0.287731,0.317774,0.471038,0.429788,0.21489499999999997,0.436638,0.45578900000000006,0.408418,0.461816,0.183828,0.187641,0.0514273,0.0165516,-0.000591748,0.185231,0.30165,0.34715799999999997,0.318468,0.196629,0.27660999999999997,0.258443,0.220514,0.037540199999999996,0.052659300000000006,0.1909,0.202039,-0.11638499999999999,0.044795800000000004,0.305421,0.252277,0.265513,0.063108,0.11682200000000001,0.0707902,0.287682,0.209362,0.26545100000000005,0.205535,0.170603,0.250645,0.205913,0.368044,0.393146,0.32142800000000005,0.278064,0.33463000000000004,0.0983827,0.365296,0.373688,0.524637,0.241281,0.33129400000000003,0.288495,0.306775,0.268807,0.265924,0.453004,0.203927,0.29851300000000003,0.48214700000000005,0.38513200000000003,0.44877399999999995,0.42533999999999994,0.39473800000000003,0.321344,0.282622,0.41528100000000007,0.353535,0.44097,0.20089,0.41762200000000005,0.34685,0.370731,0.309342,0.346636,0.47459399999999996,0.39013000000000003,0.46417299999999995,0.453092,-0.0874447,0.0803987,0.10233099999999999,-0.047773,0.036448900000000006,0.103345,0.164732,0.185132,0.289927,0.201,0.27356199999999997,0.18856199999999998,0.26013600000000003,0.124732,-0.059665699999999995,0.194406,-0.00392246,-0.19906400000000002,-0.109352,0.21863600000000002,0.18543099999999998,0.24334699999999998,0.0419706,0.032428500000000006,-0.0198704,0.22184,0.169376,0.22857600000000003,0.040749099999999996,0.256655,0.15501900000000002,0.26111100000000004,0.186603,0.256856,0.259592,0.292763,0.048694,0.281077,0.28688800000000003,0.267024
neuron 9552,0.304655,0.139044,0.12623299999999998,0.21107199999999998,1.0,0.189595,0.12995299999999999,0.27320500000000003,0.6891970000000001,0.584816,0.334448,0.038542,0.12753399999999998,0.315798,0.29194200000000003,0.631035,0.306965,0.320652,0.184339,0.23827800000000002,0.31708800000000004,0.574793,0.321865,0.0742096,0.631729,0.06601839999999999,0.281983,0.0483772,0.0349934,-0.08358020000000001,-0.14285699999999998,-0.190522,-0.213721,-0.21256599999999998,-0.09993969999999999,0.00763092,0.0528063,0.028967200000000002,-0.0590001,0.08977360000000001,0.0562635,0.03298,-0.176149,-0.18473900000000001,-0.0666312,-0.082091,-0.22317199999999998,-0.154652,-0.0194891,-0.026833799999999998,-0.0474226,-0.12318299999999999,-0.15093800000000002,-0.176708,-0.0336707,-0.050167500000000004,-0.039608300000000006,0.0169021,0.021052599999999998,0.00179318,0.06810930000000001,0.0482555,0.0177237,0.0153583,0.113535,-0.0708987,-0.18553599999999998,0.0317932,0.0806333,0.130876,0.606332,0.30457,0.5796819999999999,0.172317,0.66933,0.163704,0.24201399999999998,0.5868720000000001,0.266652,0.116092,0.271471,0.0272562,0.292166,0.0604258,0.0674952,0.384364,0.123573,0.251708,0.24896300000000002,0.6749,0.132383,0.00469186,0.139489,0.620348,0.0437884,0.187282,0.139009,0.131403,0.0959264,-0.235724,-0.171968,-0.123197,-0.188139,-0.230233,-0.139573,-0.0367625,-0.00951391,0.06934789999999999,0.0423492,0.0386071,0.0132082,0.0738221,-0.121875,-0.21941100000000002,-0.0520155,-0.188712,-0.250337,-0.210353,-0.0438764,-0.0955389,-0.0378755,-0.102118,-0.15612,-0.164872,-0.042333499999999996,-0.0431083,-0.00903555,-0.0208863,0.0763661,0.025152599999999997,0.08025560000000001,-0.160116,-0.051914800000000004,-0.011349099999999999,0.14014300000000002,-0.19712000000000002,-0.0587025,0.05160119999999999,0.035293599999999994
neuron 2714,0.5993229999999999,0.347033,0.319809,0.431026,0.189595,1.0,0.282355,0.41871899999999995,0.24710100000000002,0.383283,0.474351,0.29891999999999996,0.37745100000000004,0.5856210000000001,0.443061,0.371703,0.297347,0.45769899999999997,0.24556599999999998,0.6041989999999999,0.37811100000000003,0.201179,0.38309899999999997,0.38357399999999997,0.177924,0.35082399999999997,0.180326,0.26005,0.321299,0.21538600000000002,0.0918848,0.0402664,-0.020955099999999997,-0.0224865,0.20253,0.281896,0.389011,0.392019,0.314781,0.378145,0.305296,0.320996,0.126079,0.14707,0.319662,0.29422,-0.058421600000000004,0.159502,0.41615100000000005,0.403522,0.356027,0.141192,0.17460799999999999,0.080387,0.348933,0.335851,0.373652,0.32918800000000004,0.294243,0.327438,0.33770300000000003,0.433874,0.363066,0.31222300000000003,0.397611,0.272719,0.159082,0.293352,0.340482,0.404454,0.32853499999999997,0.349569,0.24956399999999998,0.379625,0.252911,0.330795,0.52561,0.300935,0.449283,0.436742,0.524609,0.26759499999999997,0.540467,0.331848,0.32459899999999997,0.388963,0.27984899999999996,0.547308,0.53262,0.23910700000000001,0.293213,0.266549,0.27631100000000003,0.29146700000000003,0.35231999999999997,0.359247,0.322871,0.31301599999999996,0.41267600000000004,-0.033566399999999996,0.060085400000000004,0.20422300000000002,0.0495239,0.0475044,0.158433,0.311294,0.264788,0.334946,0.36546999999999996,0.26881700000000003,0.26549,0.31953000000000004,0.23203800000000002,0.06586929999999999,0.321412,0.153108,-0.106577,-0.00956309,0.321331,0.33112600000000003,0.32842,0.150516,0.160252,0.10431900000000001,0.323381,0.317107,0.326142,0.236373,0.312371,0.24165799999999998,0.330146,0.19358,0.31613,0.324007,0.41162200000000004,0.174652,0.291189,0.316354,0.330943
neuron 9557,0.21022600000000002,0.22517399999999999,0.183726,0.358666,0.12995299999999999,0.282355,1.0,0.16064900000000001,0.2152,0.227863,0.26883,0.143826,0.273554,0.296711,0.321839,0.19356500000000001,0.159091,0.16058499999999998,0.50981,0.357432,0.231927,0.24864099999999997,0.255604,0.195247,0.11644700000000001,0.20598400000000003,0.402167,0.15551800000000002,0.172792,0.100094,-0.0163846,0.000632754,-0.10731800000000001,-0.133074,0.11999800000000001,0.168429,0.23234899999999997,0.061151,0.014943600000000001,0.0463091,0.0792972,0.148591,-0.0757381,-0.10191599999999999,0.015462100000000001,0.0697546,-0.161225,-0.102528,0.12955999999999998,0.127526,0.144433,-0.100662,-0.0281752,0.0153011,0.132638,0.0526279,0.12981099999999998,-0.0201227,0.10870899999999999,-0.00211981,-0.022037599999999997,0.160011,0.166581,0.119654,0.0559129,0.17736300000000002,0.0578198,0.151041,0.148929,0.22184,0.13833199999999998,0.134284,0.216115,0.132178,0.159689,0.0417252,0.226856,0.0955732,0.101296,0.241229,0.25474,0.180541,0.211943,0.13965,0.415154,0.1752,0.40543,0.230422,0.25404299999999996,0.154402,0.15159,0.160105,0.38413600000000003,0.15745499999999998,0.10660399999999999,0.191667,0.14962,0.177359,0.22907199999999997,-0.11265599999999999,-0.0586829,0.031882299999999995,-0.103612,-0.000799044,-0.0105696,0.0387217,0.055752499999999997,0.12872999999999998,0.07157630000000001,0.0175453,0.0423793,0.170435,-0.0488846,-0.128856,0.049260000000000005,-0.05678380000000001,-0.262702,-0.259829,0.0460008,0.132338,0.08220160000000001,0.00140724,0.0156985,-0.020611599999999997,0.0898023,0.029040899999999998,0.10588199999999999,-0.025993900000000004,0.0561314,-0.0133113,0.07445239999999999,-0.0105463,0.11086199999999999,0.050207800000000004,0.09044719999999999,-0.0268635,0.0943469,0.114797,0.07204980000000001
neuron 9207,0.44554799999999994,0.352338,0.278382,0.357011,0.27320500000000003,0.41871899999999995,0.16064900000000001,1.0,0.354598,0.40663,0.465955,0.232402,0.301063,0.379418,0.545354,0.44666300000000003,0.41345,0.61424,0.130856,0.48912700000000003,0.513335,0.364336,0.588408,0.299985,0.22953800000000002,0.33423400000000003,0.134613,0.16381199999999999,0.229273,0.0793945,-0.0018154,-0.0210762,-0.152448,-0.156658,0.0789453,0.363062,0.371792,0.23033800000000001,0.189939,0.19046400000000002,0.30690700000000004,0.289541,0.13159400000000002,0.017247400000000003,0.285576,0.163872,0.0730662,0.19031700000000001,0.23719200000000001,0.239234,0.205835,0.0899278,0.0775915,0.05481319999999999,0.25526,0.283866,0.21503699999999998,0.20657399999999998,0.148567,0.202302,0.252442,0.258556,0.263513,0.23537199999999997,0.251377,0.19506400000000002,0.07821360000000001,0.17861400000000002,0.234283,0.32192,0.381884,0.517912,0.38109299999999996,0.5082840000000001,0.3123,0.547894,0.406763,0.361976,0.497381,0.314456,0.35720599999999997,0.12604500000000002,0.414754,0.296813,0.215939,0.49573100000000003,0.07335019999999999,0.387104,0.42789799999999995,0.34370500000000004,0.319602,0.165659,0.130546,0.327677,0.37354,0.376794,0.216731,0.344236,0.303789,-0.135257,-0.035714499999999996,0.0375835,-0.0711274,-0.0199514,0.0416485,0.188161,0.281962,0.215939,0.265874,0.19747699999999999,0.254711,0.305573,0.21939699999999998,-0.00332258,0.21928000000000003,0.136122,0.0999282,0.06829310000000001,0.225847,0.171159,0.24182399999999998,0.0592877,0.0348695,0.072943,0.21491,0.23954299999999998,0.251634,0.172274,0.172974,0.12251,0.26587,0.059297300000000004,0.201101,0.23627399999999998,0.28294400000000003,0.089834,0.24529099999999998,0.24535300000000002,0.21766999999999997
neuron 83815,0.305733,0.252213,0.172251,0.287851,0.6891970000000001,0.24710100000000002,0.2152,0.354598,1.0,0.5614239999999999,0.333918,0.06814769999999999,0.220034,0.340213,0.35041300000000003,0.549296,0.396457,0.321581,0.27337100000000003,0.322452,0.432471,0.673825,0.419023,0.149254,0.565629,0.14503,0.358799,0.073907,0.0618633,-0.00677245,-0.0784831,-0.158503,-0.204476,-0.198257,-0.020637700000000002,0.128148,0.203841,0.055094000000000004,0.0149192,0.10311,0.20870500000000003,0.141448,-0.0656668,-0.147781,0.0112299,-0.017222499999999998,-0.187995,-0.0727952,0.0534735,0.066202,0.0137083,-0.0532735,-0.09290939999999999,-0.060525,0.05187580000000001,0.0483759,0.04159469999999999,0.0690677,0.06772869999999999,0.042670099999999996,0.12043399999999999,0.101964,0.0818455,0.075847,0.149781,0.020363,-0.08625269999999999,0.080701,0.1158,0.163852,0.5695100000000001,0.346565,0.608542,0.24850999999999998,0.577484,0.29390700000000003,0.297475,0.524473,0.326409,0.19369,0.28234000000000004,0.0181784,0.315266,0.09569889999999999,0.12336,0.45347299999999996,0.199577,0.27581300000000003,0.332621,0.694869,0.218923,0.0348855,0.219759,0.5828439999999999,0.12877,0.28738400000000003,0.12244100000000001,0.165889,0.133614,-0.196971,-0.0833319,-0.0577523,-0.141245,-0.190878,-0.0495055,0.05906,0.11504400000000001,0.109404,0.204618,0.0725238,0.17391600000000002,0.176216,-0.0621375,-0.169717,0.0281077,-0.08853330000000001,-0.18171800000000002,-0.17090999999999998,0.05647050000000001,-0.014842300000000001,0.0479939,-0.0045479,-0.0859354,-0.037518,0.0164792,0.026605599999999997,0.139705,0.030798500000000003,0.107575,0.026177299999999997,0.107974,-0.0815458,0.015001400000000002,0.0807086,0.153846,-0.0858419,0.0333591,0.12577,0.12579300000000002
neuron 9005,0.502211,0.26267199999999996,0.235136,0.41375500000000004,0.584816,0.383283,0.227863,0.40663,0.5614239999999999,1.0,0.517211,0.16221300000000002,0.233273,0.482572,0.477126,0.723005,0.337494,0.48101700000000003,0.276352,0.42313900000000004,0.442592,0.573505,0.408696,0.223717,0.54885,0.23863299999999998,0.36351,0.137296,0.17066800000000001,-0.00282917,-0.0485892,-0.104288,-0.145296,-0.166915,-0.015652600000000003,0.184824,0.219734,0.197522,0.0884194,0.24500100000000002,0.209441,0.1256,-0.040402,-0.019302200000000002,0.10184800000000001,0.042821,-0.0895242,0.031124900000000004,0.153057,0.139149,0.130405,-0.0427136,-0.0271103,-0.0146582,0.140035,0.0917279,0.109748,0.18274200000000002,0.14544100000000001,0.20715300000000003,0.208521,0.303571,0.20971900000000002,0.153815,0.28494,0.115469,-0.0451125,0.176586,0.24175500000000003,0.311632,0.5810609999999999,0.34125300000000003,0.512761,0.28471199999999997,0.570891,0.26772199999999996,0.42645200000000005,0.637317,0.37391199999999997,0.274712,0.36640500000000004,0.195556,0.379263,0.156859,0.156659,0.488537,0.21966599999999997,0.34336300000000003,0.455796,0.52241,0.24901199999999998,0.113631,0.269056,0.60618,0.1855,0.32624699999999995,0.21833200000000003,0.254798,0.258151,-0.169036,-0.0926408,-0.0392154,-0.10733499999999999,-0.129296,-0.060018499999999995,0.10852300000000001,0.100133,0.207118,0.133017,0.179828,0.143506,0.187156,0.00897592,-0.0932953,0.127573,-0.061705600000000006,-0.10663900000000001,-0.0908072,0.135242,0.0513682,0.13859000000000002,-0.0181728,-0.06349780000000001,-0.06593380000000001,0.10875699999999999,0.10296,0.126748,0.07352260000000001,0.21867199999999998,0.186219,0.238565,-0.0419636,0.10888099999999999,0.122625,0.297263,-0.06559169999999999,0.144787,0.185141,0.175582
